Human,Mouse
6750,20604
6751,20605
6752,20606
6753,20607
6754,20608
6755,20609
6756,387132
6760,268996
6764,76954
6767,70356
6768,19143
6769,20840
6770,20845
6772,20846
6773,20847
6774,20848
6775,20849
6776,20850
6777,20851
6778,20852
6780,20853
6781,20855
6782,110920
6783,20860
6785,83603
6786,20866
6787,23955
6788,56274
6789,58231
6790,20878
6792,382253
6793,20868
6794,20869
6795,20871
6801,268980
6804,20907
6809,20908
6810,20909
6811,56389
6812,20910
6813,20911
6814,20912
6815,56291
6819,69083
6820,54200
6821,211389
6827,20922
6829,20924
6830,20926
6832,338359
6833,20927
6834,20930
6835,20931
6836,20932
6837,20933
6838,20935
6839,20937
6840,225115
6843,22317
6844,22318
6845,20955
6847,20957
6850,20963
6853,20964
6854,20965
6855,20977
6856,19027
6857,20979
6860,20983
6861,53420
6862,20997
6863,21333
6865,21337
6866,21334
6867,320165
6868,11491
6869,21336
6870,21338
6871,217031
6872,270627
6873,319944
6874,228980
6875,72504
6876,21345
6877,226182
6878,21343
6879,24074
6880,108143
6881,24075
6882,68776
6883,66464
6884,99730
6885,26409
6886,21349
6887,21350
6888,21351
6890,21354
6891,21355
6892,21356
6894,212728
6895,21357
6897,110960
6898,234724
6899,21380
6900,21367
6901,66826
6902,21371
6903,72726
6904,108903
6905,70430
6906,331535
6907,21372
6908,21374
6909,21385
6910,21388
6911,21389
6913,21384
6915,21390
6916,21391
6917,21399
6919,21400
6920,21401
6921,67923
6923,67673
6924,27224
6925,21413
6926,21386
6927,21405
6928,21410
6929,21423
6932,21414
6934,21416
6935,21417
6936,330361
6938,21406
6939,21407
6940,21408
6941,106795
6942,21411
6943,21412
6944,21427
6945,21428
6948,21452
6949,21453
6950,21454
6954,21463
6975,21684
6988,102791
6990,67117
6992,76497
6997,21667
6999,56720
7001,21672
7003,21676
7004,21679
7005,21678
7006,21682
7007,21683
7008,21685
7009,110213
7010,21687
7011,21745
7013,21749
7014,21750
7015,21752
7016,21754
7018,22041
7019,21780
7020,21418
7021,21419
7022,21420
7023,83383
7024,21422
7025,13865
7026,11819
7027,21781
7029,211586
7030,209446
7031,21784
7032,21785
7033,21786
7035,21788
7036,50765
7037,22042
7038,21819
7039,21802
7040,21803
7041,21804
7042,21808
7043,21809
7044,320202
7045,21810
7046,21812
7047,331046
7048,21813
7049,21814
7050,21815
7051,21816
7052,21817
7053,21818
7054,21823
7056,21824
7057,21825
7058,21826
7059,21827
7060,21828
7062,99681
7064,50492
7066,21832
7067,21833
7068,21834
7069,21835
7070,21838
7071,21847
7072,21841
7073,21843
7074,21844
7075,21846
7076,21857
7077,21858
7078,21859
7079,110595
7080,21869
7082,21872
7083,21877
7084,57813
7086,21881
7087,15898
7088,21885
7089,21886
7090,21887
7091,21888
7092,21892
7093,24087
7094,21894
7095,69276
7096,21897
7097,24088
7098,142980
7099,21898
7100,53791
7101,21907
7102,21912
7103,216350
7104,229302
7105,56496
7106,64540
7107,83924
7108,73166
7109,216131
7110,232286
7111,21916
7112,21917
7113,50528
7122,12741
7123,21922
7124,21926
7125,21925
7126,21927
7127,21928
7128,21929
7130,21930
7132,21937
7133,21938
7134,21924
7135,21952
7136,21953
7137,21954
7138,21955
7139,21956
7140,21957
7141,21958
7142,21959
7143,21960
7145,21961
7148,81877
7150,21969
7153,21973
7155,21974
7156,21975
7157,22059
7158,27223
7159,209456
7161,22062
7162,21983
7163,21985
7164,21987
7165,66314
7166,21990
7167,21991
7169,22004
7170,59069
7172,22017
7173,22018
7174,22019
7175,108989
7178,22070
7180,22024
7181,22025
7182,22026
7184,22027
7185,22029
7186,22030
7187,22031
7188,22033
7189,22034
7200,22044
7201,22045
7203,12462
7204,223435
7205,22051
7216,56191
7220,22063
7222,22065
7223,22066
7224,22067
7225,22068
7226,28240
7227,83925
7247,22099
7248,64930
7249,22084
7251,22088
7252,22094
7253,22095
7257,53424
7259,22110
7260,380752
7262,22113
7263,22117
7264,22122
7265,66827
7266,56354
7267,22129
7268,72354
7270,22130
7272,22137
7273,22138
7274,50500
7275,22141
7276,22139
7277,22145
7280,22151
7283,103733
7284,233870
7286,22156
7287,22157
7288,56734
7289,22158
7290,15260
7291,22160
7292,22164
7293,22163
7294,22165
7295,22166
7296,50493
7297,54721
7298,22171
7299,22173
7301,22174
7305,22177
7306,22178
7307,108121
7311,22186
7316,22190
7317,22201
7318,74153
7319,22209
7320,22210
7321,216080
7322,56550
7323,66105
7324,22194
7325,218793
7326,67128
7327,22213
7328,22214
7329,22196
7332,22195
7335,66589
7336,70620
7337,22215
7341,22218
7342,22221
7343,21429
7345,22223
7347,50933
7348,22268
7349,22226
7350,22227
7351,22228
7352,22229
7353,22230
7355,22232
7356,22287
7357,22234
7358,22235
7360,216558
7365,100727
7367,71773
7368,22239
7369,22242
7371,80914
7372,22247
7373,12818
7374,22256
7375,22258
7376,22260
7378,22271
7379,22269
7380,22270
7381,67530
7384,22273
7385,67003
7386,66694
7388,66576
7389,22275
7390,22276
7391,22278
7392,22282
7398,230484
7399,22283
7401,229320
7402,22288
7403,22289
7405,78610
7407,22321
7408,22323
7409,22324
7410,22325
7411,22327
7412,22329
7414,22330
7415,269523
7416,22333
7417,22334
7419,22335
7421,22337
7422,22339
7424,22341
7425,381677
7428,22346
7429,22349
7430,22350
7431,22352
7432,22353
7433,22354
7434,22355
7436,22359
7439,24115
7442,193034
7443,22367
7444,69922
7447,26950
7448,22370
7450,22371
7453,22375
7454,22376
7455,22635
7456,215280
7458,22384
7461,269713
7462,56743
7464,107684
7465,22390
7466,22393
7468,107823
7469,24116
7471,22408
7472,22413
7473,22415
7474,22418
7475,22420
7476,22421
7477,22422
7478,20890
7479,22423
7480,22410
7481,22411
7482,22414
7483,216795
7484,22412
7485,71446
7486,22427
7490,22431
7494,22433
7498,22436
7504,22439
7507,22590
7508,22591
7511,170750
7512,170745
7514,103573
7515,22594
7516,57434
7517,74335
7518,108138
7520,22596
7525,22612
7528,22632
7529,54401
7531,22627
7532,22628
7533,22629
7534,22631
7535,22637
7536,22668
7538,22695
7539,22696
7541,22666
7542,81909
7543,22764
7545,22771
7546,22772
7547,22773
7549,72180
7551,56314
7552,245595
7553,223669
7554,243833
7555,12785
7559,231866
7561,236193
7566,52712
7569,319535
7570,67255
7571,234725
7572,59057
7579,269585
7580,232337
7584,22646
7586,74570
7589,22697
7593,109889
7597,109929
7629,224656
7643,170763
7644,100416706
7652,408068
7681,22652
7690,72465
7701,77264
7702,20841
7703,22658
7704,235320
7705,26465
7706,217069
7707,22661
7709,22642
7712,235050
7716,22344
7726,22670
7727,385674
7728,210105
7732,22671
7733,210135
7737,69942
7738,193452
7739,22673
7741,432731
7743,230162
7745,93681
7750,76007
7753,80902
7755,22654
7756,22680
7760,449521
7763,22682
7764,228913
7769,56707
7771,57745
7776,329002
7779,22782
7780,230810
7781,22784
7782,22785
7783,22787
7784,22788
7786,26404
7791,22793
7798,269593
7799,110593
7802,75563
7803,19243
7804,16975
7805,16792
7809,140475
7812,229663
7813,14020
7818,65111
7827,170484
7832,12227
7837,69675
7840,236266
7841,57377
7844,22644
7846,22142
7849,18510
7850,16178
7851,228576
7852,12767
7855,14367
7857,20254
7862,78783
7866,15983
7867,102626
7869,20347
7871,83997
7873,74840
7874,252870
7879,19349
7881,16497
7884,20492
7903,20452
7905,13476
7913,110052
7915,214579
7916,53761
7917,224727
7918,81845
7919,53817
7920,193742
7922,14977
7923,14979
7932,258469
7936,27632
7941,27226
7942,21425
7957,13853
7965,231872
7975,17135
7976,14365
7979,20422
7980,21789
7982,64213
7984,54324
7988,232784
7991,80286
7993,108159
7994,244349
8000,72373
8001,110304
8013,18124
8019,67382
8021,227720
8022,16871
8027,20844
8028,17354
8029,65969
8030,76551
8031,27057
8034,73132
8036,56392
8038,11489
8045,66985
8048,13009
8050,27402
8061,14283
8065,75717
8073,19244
8074,64654
8076,50530
8078,22225
8079,30853
8082,16651
8085,381022
8086,223921
8087,14359
8089,64050
8091,15364
8092,216285
8099,13445
8100,21821
8106,54196
8110,70127
8111,238377
8115,21432
8120,11775
8125,11737
8128,20450
8131,17168
8139,209239
8140,20539
8148,70439
8153,11858
8161,12812
8165,11640
8170,27411
8174,17123
8175,20222
8178,13716
8187,22685
8189,68188
8190,12587
8192,53895
8193,29861
8195,59030
8200,14563
8202,17979
8204,268903
8208,110749
8209,28295
8214,13353
8216,66863
8220,27886
8224,27204
8225,107999
8226,67365
8233,22184
8237,236733
8239,22284
8241,236732
8242,20591
8243,24061
8260,56292
8266,27643
8273,214601
8277,83553
8284,20592
8287,107868
8288,13861
8289,93760
8291,26903
8292,382864
8295,100683
8301,233489
8303,20621
8309,93732
8310,80911
8312,12005
8313,12006
8314,104416
8315,72399
8317,12545
8318,12544
8320,13813
8321,14362
8322,14366
8323,14368
8324,14369
8325,14370
8326,14371
8328,14582
8334,319163
8338,319176
8342,319188
8372,109685
8379,17120
8382,75533
8387,258925
8388,258924
8392,258704
8394,18720
8395,18719
8396,108083
8398,53357
8399,26565
8402,67863
8403,20669
8404,13602
8405,20747
8406,51795
8407,21346
8408,22241
8409,22294
8411,216238
8412,29815
8416,71790
8417,53331
8419,107993
8424,170442
8425,108075
8427,101095
8428,223255
8431,23957
8433,22286
8434,53614
8435,223920
8436,20324
8437,19415
8438,19366
8439,18201
8443,14712
8444,226419
8445,69181
8446,72102
8447,13447
8448,13446
8449,69192
8450,72584
8451,99375
8452,26554
8453,71745
8454,26965
8455,11990
8456,15218
8458,74044
8459,22022
8460,22021
8462,194655
8463,21677
8464,109115
8467,93762
8468,94244
8471,16370
8473,108155
8476,226751
8477,14744
8479,233876
8480,66679
8481,237222
8482,20361
8483,214425
8484,14429
8487,66603
8490,19737
8491,225028
8492,19142
8493,53892
8495,19024
8496,67533
8498,71810
8499,327814
8500,233977
8501,72401
8502,227937
8503,18710
8504,56535
8505,26430
8506,53321
8507,13803
8508,18082
8509,17423
8510,26561
8513,67717
8514,16498
8515,213119
8516,241226
8517,16151
8518,230233
8519,68713
8520,107435
8521,14531
8522,14457
8525,104418
8526,56077
8527,227333
8528,70503
8529,72054
8530,13011
8531,56449
8532,242939
8533,26572
8534,76969
8535,12418
8536,52163
8537,76960
8538,12023
8539,11800
8540,228061
8541,76787
8543,16911
8544,69656
8545,106143
8546,11774
8548,66352
8549,14160
8550,17165
8553,20893
8554,56469
8555,218294
8556,229776
8557,21393
8558,234854
8559,67229
8560,13244
8562,68184
8563,107829
8564,98256
8565,107271
8566,216134
8567,228355
8568,18114
8569,17346
8570,16549
8572,30794
8573,12361
8574,110198
8575,23992
8576,20872
8577,230157
8578,380713
8581,17068
8590,18317
8600,21943
8601,58175
8602,75416
8603,231128
8604,78830
8605,232889
8607,56505
8608,54150
8609,93691
8611,19012
8612,50784
8613,67916
8614,20856
8615,56041
8618,27062
8620,54615
8621,69562
8622,218461
8624,56088
8625,19727
8626,22061
8629,16469
8630,27400
8631,78473
8632,69926
8633,22253
8634,66368
8636,68475
8637,108112
8638,231655
8639,11754
8641,93701
8642,233651
8643,19207
8644,105349
8645,16529
8646,12667
8647,27413
8648,17977
8649,56692
8650,18222
8651,12703
8653,110957
8654,242202
8655,56455
8658,21951
8659,212647
8660,384783
8661,13669
8662,27979
8664,55944
8665,66085
8666,53356
8667,68135
8668,54709
8671,54403
8672,230861
8673,22320
8674,53330
8675,228960
8676,74732
8678,56208
8682,18611
8683,108014
8685,17167
8689,16673
8690,77532
8692,15587
8693,14426
8694,13350
8697,52563
8698,13611
8701,13411
8702,56375
8703,57370
8704,53418
8705,54218
8706,26879
8707,26878
8708,26877
8710,116872
8711,83813
8714,76408
8717,71609
8718,85030
8720,56453
8721,59022
8722,56464
8723,69150
8724,54198
8725,19777
8726,13626
8727,54366
8728,11492
8729,107338
8731,67897
8732,24018
8733,14731
8735,544791
8736,17929
8737,19766
8738,12905
8739,12123
8740,50930
8741,69583
8742,21944
8743,22035
8745,23792
8747,56622
8749,13524
8751,11490
8754,11502
8756,11500
8760,110911
8761,230721
8763,53599
8764,230979
8766,53869
8767,192656
8772,14082
8773,20619
8774,108123
8775,108124
8776,53332
8777,17475
8780,66878
8784,21936
8785,17183
8786,50782
8787,19739
8788,13386
8789,14120
8790,75540
8792,21934
8796,64929
8797,21933
8798,101320
8799,18632
8800,18631
8801,20917
8802,56451
8803,20916
8804,433375
8805,21848
8807,16174
8808,107527
8809,16182
8811,14428
8812,12454
8813,13480
8814,71091
8815,23825
8816,320808
8817,14172
8818,13481
8819,60406
8820,15209
8821,234515
8822,14171
8823,80903
8824,436059
8825,108030
8826,29875
8828,18187
8829,18186
8831,240057
8832,12523
8833,229363
8834,216821
8835,216233
8836,14590
8837,12633
8838,327743
8839,22403
8840,22402
8841,15183
8842,19126
8844,16706
8846,211064
8848,21807
8850,18519
8851,12569
8852,11643
8853,211914
8854,19378
8856,18171
8857,215384
8858,66901
8859,54402
8861,16825
8862,30878
8863,18628
8864,18627
8867,104015
8869,20454
8870,15937
8871,20975
8872,98828
8874,54126
8876,22361
8877,20698
8878,18412
8879,20397
8880,51886
8881,69957
8882,22687
8883,234664
8884,330064
8886,66942
8887,52440
8888,54387
8890,13667
8891,108067
8892,217715
8893,224045
8894,67204
8895,70568
8897,74302
8898,77116
8899,19134
8900,12427
8904,266692
8905,108012
8906,11766
8907,11767
8909,19011
8910,20392
8911,239556
8912,58226
8913,12291
8914,21853
8915,12042
8916,73998
8924,15204
8925,235439
8926,84704
8927,12217
8928,14106
8929,18935
8930,17193
8932,17191
8934,226422
8935,54353
8936,83767
8938,545192
8939,320267
8940,21976
8941,12570
8942,70789
8943,11776
8945,12234
8971,243529
8972,232714
8973,11440
8974,18452
8975,72607
8976,73178
8985,26433
8986,56613
8987,52331
8988,56534
8989,277328
8992,11974
8993,21946
8994,29806
8995,240873
8996,78688
8997,545156
8999,53886
9001,15114
9002,14065
9013,21341
9014,21340
9015,21339
9016,20523
9019,68481
9020,53859
9021,12702
9022,69454
9023,12642
9024,75770
9026,29816
9027,68396
9028,214951
9031,22385
9032,75604
9033,329064
9034,54199
9037,20356
9038,215854
9039,22200
9040,22192
9043,70834
9044,107182
9045,67115
9046,13449
9047,27371
9048,11876
9049,11632
9050,19201
9051,19200
9052,232431
9053,17761
9054,18041
9055,233406
9056,20540
9057,330836
9058,20500
9060,23972
9061,23971
9063,17344
9064,53608
9066,54525
9068,72713
9069,64945
9070,23808
9071,58187
9073,54420
9074,54419
9075,12738
9076,12737
9079,16826
9080,56863
9086,13664
9088,268930
9091,14755
9092,20227
9093,83945
9094,22248
9095,83993
9096,76365
9097,59025
9099,53376
9100,22224
9101,84092
9104,19733
9107,219135
9108,54384
9110,170749
9111,64685
9112,116870
9113,16798
9114,11972
9117,215474
9118,226180
9119,109052
9120,104681
9121,217316
9122,229699
9123,80879
9124,54132
9125,58184
9126,13006
9127,18440
9128,70052
9129,70767
9130,108160
9131,26926
9132,60613
9133,12442
9134,12448
9135,54189
9136,27966
9138,16801
9139,12396
9140,67526
9143,20974
9144,20973
9145,20972
9146,15239
9147,66244
9148,18011
9149,13549
9150,67655
9152,104245
9153,269346
9154,434203
9156,26909
9158,58249
9159,18554
9162,320127
9166,55960
9167,20463
9169,72193
9170,53978
9172,17930
9173,17082
9175,71751
9177,57014
9179,11781
9180,18414
9181,16800
9182,237504
9183,26951
9184,12237
9185,194590
9187,214111
9188,56200
9191,21945
9194,20503
9196,16499
9197,11416
9200,30963
9201,13175
9202,67785
9203,56364
9204,100177
9205,219105
9208,16978
9210,12155
9211,56839
9212,20877
9213,19775
9214,69169
9215,16795
9217,56491
9218,30960
9219,23942
9221,70769
9223,14924
9227,79235
9228,244310
9229,224997
9230,19326
9231,71228
9232,30939
9236,72278
9238,21379
9240,70481
9241,18121
9242,17681
9244,12931
9245,72077
9246,56791
9247,107889
9248,14765
9249,20148
9252,73086
9253,18223
9254,56808
9255,13722
9256,207777
9258,52065
9260,67399
9261,17164
9262,98267
9265,19159
9266,19158
9267,19157
9270,16413
9271,57749
9274,12055
9275,12054
9276,50797
9277,57315
9278,81630
9282,26896
9283,171469
9287,209512
9289,14766
9290,227326
9293,620246
9294,14739
9295,69207
9296,66144
9306,54607
9308,12522
9310,56525
9311,171209
9312,98741
9313,30800
9314,16600
9315,27528
9317,19212
9318,12848
9319,69716
9320,14897
9321,109181
9322,106628
9325,56404
9326,448850
9328,70239
9329,269252
9330,98488
9331,56386
9332,93671
9333,74176
9334,56336
9337,69125
9338,237052
9340,93896
9341,22319
9342,67474
9343,20624
9344,381921
9348,83398
9349,65019
9350,12622
9351,65962
9352,53382
9353,20563
9354,140630
9355,16870
9356,18399
9358,223272
9360,228005
9361,74142
9362,12891
9363,19337
9364,100972
9365,16591
9367,56382
9368,26941
9370,11450
9371,16569
9372,230597
9373,18786
9374,54397
9375,68059
9376,19879
9377,12858
9378,18189
9379,18190
9380,76238
9381,83762
9382,16834
9388,16891
9389,382113
9390,102570
9391,26371
9392,73122
9394,50785
9397,18108
9398,630146
9399,69106
9400,170472
9401,79456
9402,17444
9403,93684
9404,107321
9406,53861
9407,231382
9409,18633
9410,66585
9411,214137
9412,108098
9413,381217
9414,21873
9415,56473
9416,74351
9419,56724
9420,13123
9421,15110
9423,18208
9424,52150
9425,12593
9427,13599
9429,26357
9435,54371
9437,17086
9439,70208
9440,234959
9441,70625
9442,68975
9443,66213
9444,19317
9445,16432
9446,14873
9447,383619
9450,17084
9451,13666
9452,16431
9453,14593
9454,26558
9455,26557
9456,26556
9457,57756
9459,73341
9462,226525
9463,18693
9464,15111
9465,432442
9466,50931
9467,24056
9468,236899
9469,53374
9470,26987
9472,238161
9473,230787
9474,11793
9475,19878
9476,16541
9477,56771
9479,19099
9480,225631
9481,74011
9482,55943
9486,98388
9487,327942
9488,55981
9489,74451
9491,228769
9493,71819
9495,238276
9496,21387
9497,218756
9498,59033
9499,58916
9500,94275
9501,380714
9507,240913
9508,330119
9509,216725
9510,11504
9512,73078
9513,23879
9514,53897
9515,207227
9516,56722
9517,20773
9518,23886
9519,237336
9520,19155
9521,66143
9522,107767
9524,106529
9525,20479
9526,24070
9527,53334
9528,56374
9529,70369
9530,67384
9531,29810
9532,213539
9533,20016
9536,64292
9537,277414
9538,13663
9541,66935
9542,100042150
9543,19289
9545,19340
9546,57267
9547,57266
9550,66290
9551,57423
9552,216873
9555,26914
9556,70257
9557,68058
9559,30930
9562,17330
9563,100198
9564,12927
9567,14904
9568,242425
9569,57080
9570,56494
9572,217166
9573,14562
9575,12753
9576,381350
9577,107976
9578,217866
9580,20668
9581,213760
9582,80287
9584,170791
9585,240641
9587,66591
9588,11758
9589,60532
9590,83397
9592,15936
9595,227929
9600,18739
9601,12304
9603,18025
9604,56736
9605,72325
9607,27220
9609,76877
9610,225870
9611,20185
9612,20602
9615,14544
9616,19823
9617,211253
9618,22032
9619,11307
9620,12614
9622,56640
9625,11302
9627,67847
9628,50779
9630,14675
9631,170762
9632,218811
9633,17771
9635,229933
9636,100038882
9637,225020
9638,235180
9639,234094
9640,233410
9641,56489
9643,56397
9644,14218
9645,320878
9646,22083
9647,68606
9648,70297
9649,241308
9650,67472
9651,269615
9652,218343
9653,23908
9654,67534
9655,56468
9656,240087
9657,320299
9658,329003
9659,83679
9662,381644
9663,64898
9665,223989
9666,224170
9667,224902
9669,226982
9670,230673
9671,320916
9672,20970
9673,229517
9674,67647
9675,75425
9677,327655
9678,75725
9679,77938
9681,277854
9682,230674
9683,80750
9684,223664
9685,216705
9686,232334
9687,268527
9688,71805
9689,66882
9690,100763
9692,66132
9693,76089
9694,66736
9695,192193
9696,230872
9697,170829
9698,80912
9699,116838
9700,105988
9701,71474
9702,74360
9703,72503
9704,71723
9705,240690
9706,29869
9708,93716
9709,64209
9710,233103
9711,100502698
9712,98910
9715,76156
9716,11834
9717,665119
9718,107522
9719,77794
9721,432839
9722,70729
9723,20349
9725,208795
9726,233905
9727,215445
9728,70354
9729,212448
9730,321006
9731,230967
9732,238130
9733,53890
9735,208628
9736,17847
9737,67298
9738,101565
9739,233904
9741,17775
9742,106633
9743,330914
9744,216859
9745,243937
9746,232370
9747,77574
9748,20874
9749,215789
9750,193385
9751,241727
9752,353235
9753,22758
9754,236920
9755,73174
9757,75410
9758,333605
9759,208727
9760,252838
9761,109154
9762,241638
9764,234797
9765,218441
9766,217684
9767,382207
9768,68026
9770,215653
9771,217944
9772,71947
9774,72567
9775,192170
9776,51897
9777,99237
9778,320661
9779,72238
9780,234839
9781,108089
9782,17184
9783,242662
9784,266781
9785,64340
9786,76967
9787,218977
9788,211401
9789,66624
9790,213895
9791,19210
9792,58172
9793,75786
9794,103806
9796,105653
9797,381801
9798,71955
9801,56284
9802,23994
9804,67952
9805,69938
9806,94214
9807,27399
9810,233900
9811,269037
9812,66839
9813,230648
9814,78887
9815,26431
9816,382038
9817,50868
9818,71844
9819,72033
9820,66515
9821,12421
9823,67416
9824,228482
9825,263876
9826,213498
9827,242406
9828,207212
9829,72685
9830,74735
9831,78834
9832,76217
9833,17279
9836,329504
9837,69270
9839,24136
9840,67596
9841,268294
9842,353047
9843,15203
9844,140580
9846,14389
9847,74741
9848,71306
9849,72672
9851,74477
9852,77781
9853,100213
9854,71764
9855,227377
9856,210108
9857,74081
9858,241289
9859,545389
9860,269473
9861,66413
9862,23989
9863,50791
9865,66873
9866,330627
9867,224938
9868,28185
9869,84505
9870,68497
9871,69608
9873,207278
9874,228012
9875,207932
9877,70579
9878,268741
9879,212880
9880,320080
9881,320429
9882,210789
9885,228983
9886,69288
9887,226517
9890,229791
9891,77976
9892,20616
9894,71718
9895,104859
9896,103199
9897,223593
9898,74383
9899,64176
9900,64051
9901,259302
9902,17534
9903,242785
9904,74111
9905,97761
9907,231855
9908,23881
9909,229541
9910,29809
9911,68875
9912,216831
9913,72195
9914,69047
9915,11864
9917,215015
9918,68298
9919,227648
9920,74901
9921,50849
9922,232227
9923,230848
9924,103135
9925,230119
9926,226856
9927,170731
9928,381293
9931,78455
9933,52874
9934,140795
9935,16658
9936,66205
9937,55947
9938,232201
9939,60365
9940,320256
9941,208194
9942,102448
9943,108737
9945,14584
9946,66609
9948,22388
9949,56068
9950,27277
9951,628779
9953,54710
9955,15478
9956,195646
9957,15476
9958,14479
9960,235441
9961,78388
9962,54338
9963,20522
9965,14170
9966,326623
9967,230753
9968,59024
9969,327987
9970,12355
9971,20186
9972,218210
9973,12460
9975,353187
9978,100043674
9980,70028
9982,14181
9984,225160
9985,56739
9986,19671
9987,50926
9988,23857
9989,70351
9990,107723
9991,230257
9992,246133
9993,13356
9994,26885
9997,100126824
10000,23797
10001,69792
10002,23958
10003,72560
10004,381204
10005,170789
10006,11308
10007,26384
10008,57442
10009,56805
10010,21353
10011,24068
10013,15185
10014,15184
10015,18571
10016,18570
10017,12049
10018,12125
10019,16923
10020,50798
10021,330953
10022,23919
10023,14296
10024,78733
10025,216154
10026,329777
10036,27221
10038,11546
10039,235587
10040,71943
10042,70823
10043,21968
10044,27387
10046,333639
10047,13012
10048,56705
10049,23950
10050,319848
10051,70099
10052,14615
10053,11768
10054,50995
10055,56459
10056,23874
10057,27416
10058,74104
10059,74006
10060,20928
10061,27407
10062,22259
10063,12856
10066,24044
10067,24045
10068,16068
10069,53858
10072,75221
10073,66069
10075,59026
10076,19273
10077,27027
10078,56844
10079,11981
10081,50996
10082,23888
10083,72088
10084,54633
10085,13612
10086,654498
10087,68018
10089,16530
10090,338362
10092,67771
10093,68089
10094,56378
10095,11867
10096,74117
10097,66713
10098,56224
10099,56434
10100,70747
10101,26426
10102,66399
10103,66805
10105,105675
10106,52468
10107,19824
10109,76709
10110,27219
10111,19360
10112,19348
10113,50907
10114,15259
10116,14155
10117,13801
10120,226977
10121,54130
10123,320982
10124,11861
10125,19419
10126,54152
10127,74120
10128,72416
10129,320365
10130,71853
10131,68015
10133,71648
10134,27061
10135,59027
10136,242711
10137,75710
10138,67057
10139,76688
10140,22057
10142,100986
10143,403395
10144,58909
10146,27041
10148,50498
10149,237175
10150,105559
10153,12607
10154,54712
10155,21849
10156,54153
10157,30956
10158,67182
10159,70495
10160,223254
10161,67168
10162,14792
10163,242687
10164,26887
10165,50799
10166,18408
10169,378702
10170,241452
10171,59028
10174,20410
10175,12793
10178,23963
10179,67010
10180,19654
10181,83486
10184,218454
10186,108927
10188,51789
10189,21681
10190,98258
10193,67588
10194,110796
10195,208624
10196,71974
10197,19192
10198,269702
10199,67973
10200,68533
10201,54369
10203,54598
10205,14012
10206,66597
10207,12695
10208,231915
10209,432950
10210,106021
10211,14251
10212,68278
10213,59029
10215,50913
10216,96875
10217,69274
10218,654812
10219,50928
10220,14561
10221,211770
10223,59290
10225,84544
10226,66905
10227,68294
10228,58244
10229,12850
10232,56047
10233,16977
10234,74511
10235,19395
10236,74326
10237,110172
10238,71833
10239,11778
10240,57312
10242,72413
10243,268566
10244,227746
10245,21855
10246,218103
10247,15473
10248,74097
10249,107146
10250,51796
10251,236576
10252,24063
10253,24064
10254,56324
10256,194231
10257,239273
10260,102442
10261,80719
10262,107701
10263,52004
10265,54352
10266,54409
10267,51801
10268,56089
10269,230709
10270,56399
10272,83554
10273,56424
10274,20842
10276,56349
10277,63958
10278,13644
10279,54373
10280,18391
10282,12068
10283,67285
10285,76479
10286,68183
10287,56470
10289,68969
10290,11790
10291,67465
10293,22036
10294,56445
10295,12041
10296,59003
10297,23805
10298,70584
10299,223455
10300,74187
10302,330959
10307,225372
10309,218630
10311,13185
10312,27060
10313,20168
10314,14768
10316,14767
10317,93961
10318,57783
10319,23928
10320,22778
10321,11571
10322,232187
10324,228003
10325,245670
10327,58810
10328,18117
10329,216395
10330,56530
10331,72297
10332,170779
10333,21899
10335,17540
10336,69587
10342,21787
10343,18766
10345,76757
10347,27403
10350,217262
10351,27404
10352,70560
10360,18150
10361,328440
10362,15353
10363,66867
10365,16598
10367,216001
10368,54376
10369,12300
10370,17684
10371,20346
10376,22143
10379,16391
10380,23827
10381,22152
10382,22153
10383,227613
10385,238555
10388,320558
10389,107815
10390,99712
10391,235431
10392,107607
10393,68999
10394,53856
10395,50768
10396,11980
10397,17988
10398,98932
10399,14694
10400,18618
10401,229615
10402,54613
10403,67052
10404,54381
10406,67701
10407,546038
10409,70350
10411,223864
10412,59050
10413,22601
10417,100689
10418,233744
10419,27374
10420,230661
10421,70233
10422,98766
10423,52858
10424,70804
10425,23807
10426,259279
10427,99683
10428,23837
10430,69804
10432,56275
10434,18777
10435,104252
10436,14791
10437,65972
10438,57316
10439,56177
10440,21854
10443,381695
10444,227693
10445,51812
10446,16980
10447,27999
10449,52538
10450,56031
10451,57257
10452,53333
10454,66513
10455,23986
10456,23897
10457,93695
10458,108100
10459,71890
10460,21335
10461,17289
10463,109108
10464,52023
10465,66101
10466,238123
10467,70103
10468,14313
10469,21856
10471,14976
10472,30928
10474,101206
10475,214158
10477,22193
10478,20524
10479,236794
10480,98221
10481,15408
10482,53319
10483,27054
10484,20334
10486,67252
10487,12331
10488,12913
10489,230654
10490,53612
10491,56693
10492,56403
10493,26949
10494,59041
10495,209224
10497,22249
10498,59035
10499,17978
10500,20360
10501,20359
10505,20355
10507,20354
10509,20352
10512,20348
10513,66884
10514,18432
10516,23876
10518,56506
10519,23991
10521,67040
10522,54006
10523,27967
10524,81601
10525,12282
10526,320727
10527,233726
10528,67134
10531,69617
10533,74244
10534,56390
10535,69724
10536,14789
10537,24108
10538,53314
10539,30926
10540,69654
10541,67628
10542,68576
10544,19124
10548,74140
10549,53381
10550,65106
10551,23795
10552,56443
10553,53415
10554,55979
10555,67512
10556,54364
10557,227522
10558,268656
10559,24060
10560,116914
10561,99899
10562,380924
10563,55985
10564,99371
10565,211673
10566,11642
10567,14470
10568,20531
10569,193116
